Phylum,x,y
Actinobacteria,57.9466,19.1522
Actinobacteria,-10.6048,-87.5891
Firmicutes,-43.8259,-0.88873
Firmicutes,14.6616,-36.7192
Firmicutes,52.7818,-14.0006
Firmicutes,-36.4405,18.7747
Firmicutes,-4.94249,-66.927
Proteobacteria,3.1634,-22.346
Bacteroidetes,46.5493,-26.0074
Bacteroidetes,-30.5949,-19.3874
Actinobacteria,5.87387,52.5373
Bacteroidetes,48.8183,35.0353
Proteobacteria,-31.0825,-42.0041
Bacteroidetes,-71.8146,-7.60895
Firmicutes,24.6565,-58.7453
Firmicutes,64.9026,31.6907
Firmicutes,35.9695,-16.1392
Bacteroidetes,-10.0582,90.0814
Bacteroidetes,-1.29811,17.859
Firmicutes,13.8258,-67.2836
Bacteroidetes,33.171,48.5831
Bacteroidetes,1.95709,1.13744
Bacteroidetes,-74.1794,-48.7789
Firmicutes,-77.8151,-14.913
Firmicutes,-21.1036,-59.4598
Proteobacteria,8.30732,-75.2338
Firmicutes,33.6138,-5.82329
Bacteroidetes,63.3963,-35.1868
Bacteroidetes,-30.8727,-19.442
Bacteroidetes,47.3796,-26.0333
Firmicutes,24.8227,-78.8063
Firmicutes,-19.5691,-22.6808
Firmicutes,-25.2905,29.7925
Bacteroidetes,-77.4941,21.8723
Firmicutes,41.8234,-2.91035
Firmicutes,-19.5929,11.121
Firmicutes,33.4146,-57.2407
Firmicutes,52.5148,-6.44138
Proteobacteria,6.60655,-12.6295
Proteobacteria,-15.6782,-42.7008
Actinobacteria,-87.0704,31.2591
Firmicutes,34.9737,-2.07205
Firmicutes,7.66212,23.4233
Firmicutes,4.89503,24.5059
Actinobacteria,54.2196,20.7317
Firmicutes,43.3241,-66.4041
Firmicutes,59.794,-16.3515
Firmicutes,-43.8875,-0.917929
Firmicutes,39.5675,35.0381
Firmicutes,57.7804,-16.7651
Actinobacteria,-87.0703,31.2602
Firmicutes,41.3534,35.1071
Firmicutes,-9.61325,-40.1514
Firmicutes,34.7838,-40.9451
Firmicutes,-25.42,9.92137
Bacteroidetes,48.2339,-24.5896
Firmicutes,-51.7975,-15.7592
Firmicutes,71.533,37.6767
Bacteroidetes,3.44835,0.221739
Firmicutes,39.7493,-34.6133
Bacteroidetes,-68.7349,-7.50447
Actinobacteria,-11.6625,-62.7502
Bacteroidetes,-0.862027,18.774
Firmicutes,-63.9989,33.582
Firmicutes,-15.4927,55.8133
Firmicutes,-37.1356,73.5357
Firmicutes,-14.0437,29.4029
Firmicutes,41.2176,-2.54905
Firmicutes,11.4064,-9.25974
Firmicutes,-22.3804,36.559
Firmicutes,24.451,6.79176
Actinobacteria,-20.9053,-5.77687
Firmicutes,34.8345,-20.1621
Actinobacteria,54.2326,20.6447
Firmicutes,-8.10179,45.2755
Actinobacteria,70.417,-16.466
Firmicutes,-24.1202,-28.0004
Firmicutes,22.7717,-58.123
Firmicutes,45.245,-5.24371
Firmicutes,-57.6938,-7.31865
Actinobacteria,59.6294,15.9121
Bacteroidetes,-65.8324,-54.2649
Firmicutes,21.0755,-60.2694
Actinobacteria,-21.1065,-73.6028
Firmicutes,-28.3068,67.472
Firmicutes,26.361,-0.251053
Firmicutes,19.6284,12.517
Firmicutes,-21.4052,-45.886
Firmicutes,-33.5786,49.1893
Bacteroidetes,-30.5139,-19.3029
Firmicutes,-40.7519,-58.3244
Bacteroidetes,62.6728,-36.5243
Bacteroidetes,49.1185,-26.6251
Bacteroidetes,-77.9692,20.5551
Firmicutes,34.6631,-35.5394
Firmicutes,-62.7641,56.2428
Actinobacteria,-23.1276,-2.26371
Firmicutes,-29.6962,-0.116826
Firmicutes,-62.6186,14.2009
Bacteroidetes,20.6447,37.3737
Bacteroidetes,-10.1932,88.2294
Firmicutes,70.5136,38.8704
Firmicutes,-33.1661,24.7808
Firmicutes,24.5997,-30.3278
Actinobacteria,-86.811,30.3256
Firmicutes,27.4873,18.8508
Bacteroidetes,-10.1829,88.2434
Actinobacteria,-21.3543,-73.6353
Proteobacteria,-0.790186,-49.5815
Firmicutes,45.8094,-66.5888
Proteobacteria,-7.98887,-0.258501
Actinobacteria,-22.8308,-2.56687
Bacteroidetes,-11.5201,84.915
Proteobacteria,-8.12644,-0.143047
Firmicutes,-11.2589,-15.237
Firmicutes,29.2912,0.4501
Bacteroidetes,-71.9561,-7.67739
Firmicutes,-38.2096,36.2061
Bacteroidetes,18.1231,28.6709
Firmicutes,-14.102,61.6871
Firmicutes,24.9854,60.8276
Firmicutes,5.55384,-60.353
Bacteroidetes,63.3257,-35.1262
Firmicutes,10.5075,-8.13385
Firmicutes,-32.7867,24.9897
Bacteroidetes,20.5571,37.0253
Firmicutes,-30.2527,6.04653
Firmicutes,-54.3165,40.2488
Firmicutes,-63.0817,-2.76971
Firmicutes,71.6724,36.9905
Firmicutes,-28.6389,53.5716
Firmicutes,64.9257,-29.3964
